z,zinv,p_U1,p_U2,p_S11_bot,p_S11_top,p_S22_bot,p_S22_top,N_U1,N_U2,N_S11_bot,N_S11_top,N_S22_bot,N_S22_top,
11.1803,0,-2.42E-35,6.62E-05,-0.259553,0.259553,-0.258264,-0.102532,1.56E-36,-5.48E-05,-0.984426,-1.01557,-0.284504,-0.293848,
11.0685,0.1118,-9.02E-06,6.62E-05,-0.501702,0.501702,-0.508927,-0.207906,5.41E-07,-5.43E-05,-0.969897,-1.0301,-0.269464,-0.287525,
10.9567,0.2236,-1.78E-05,6.61E-05,-0.952502,0.952502,-0.995066,-0.423564,1.07E-06,-5.38E-05,-0.942849,-1.05715,-0.240296,-0.274586,
10.8449,0.3354,-2.63E-05,6.59E-05,-1.3389,1.3389,-1.45092,-0.647584,1.58E-06,-5.33E-05,-0.919665,-1.08033,-0.212944,-0.261145,
10.7331,0.4472,-3.45E-05,6.57E-05,-1.66599,1.66599,-1.8768,-0.877202,2.07E-06,-5.28E-05,-0.90004,-1.09996,-0.187392,-0.247368,
10.6213,0.559,-4.24E-05,6.55E-05,-1.93869,1.93869,-2.27318,-1.10996,2.54E-06,-5.23E-05,-0.883678,-1.11632,-0.163609,-0.233402,
10.5095,0.6708,-4.99E-05,6.52E-05,-2.16171,2.16171,-2.64072,-1.3437,2.99E-06,-5.17E-05,-0.870297,-1.1297,-0.141557,-0.219378,
10.3977,0.7826,-5.71E-05,6.48E-05,-2.33956,2.33956,-2.98023,-1.5765,3.42E-06,-5.12E-05,-0.859626,-1.14037,-0.121186,-0.20541,
10.2859,0.8944,-6.38E-05,6.44E-05,-2.47652,2.47652,-3.29263,-1.80671,3.83E-06,-5.07E-05,-0.851408,-1.14859,-0.102442,-0.191597,
10.1741,1.0062,-7.02E-05,6.39E-05,-2.57668,2.57668,-3.57892,-2.03292,4.21E-06,-5.01E-05,-0.845398,-1.1546,-0.0852644,-0.178025,
10.0623,1.118,-7.63E-05,6.34E-05,-2.64387,2.64387,-3.84022,-2.2539,4.58E-06,-4.96E-05,-0.841367,-1.15863,-0.0695869,-0.164766,
9.9505,1.2298,-8.19E-05,6.29E-05,-2.68171,2.68171,-4.07765,-2.46863,4.92E-06,-4.90E-05,-0.839097,-1.1609,-0.0553407,-0.151882,
9.8387,1.3416,-8.72E-05,6.23E-05,-2.69359,2.69359,-4.29243,-2.67628,5.23E-06,-4.85E-05,-0.838384,-1.16161,-0.0424541,-0.139423,
9.7269,1.4534,-9.21E-05,6.17E-05,-2.68267,2.68267,-4.48577,-2.87617,5.53E-06,-4.80E-05,-0.839039,-1.16096,-0.0308536,-0.12743,
9.61509,1.56521,-9.67E-05,6.11E-05,-2.65193,2.65193,-4.65891,-3.06776,5.80E-06,-4.74E-05,-0.840884,-1.15911,-0.0204651,-0.115934,
9.50329,1.67701,-0.00010088,6.05E-05,-2.60407,2.60407,-4.8131,-3.25066,6.05E-06,-4.69E-05,-0.843755,-1.15624,-0.011214,-0.104961,
9.39149,1.78881,-0.000104757,5.98E-05,-2.54165,2.54165,-4.94957,-3.42458,6.29E-06,-4.63E-05,-0.8475,-1.1525,-0.00302598,-0.0945254,
9.27968,1.90062,-0.000108313,5.90E-05,-2.46699,2.46699,-5.06954,-3.58935,6.50E-06,-4.58E-05,-0.85198,-1.14802,0.00417222,-0.0846392,
9.16788,2.01242,-0.000111562,5.83E-05,-2.38222,2.38222,-5.17421,-3.74488,6.69E-06,-4.52E-05,-0.857066,-1.14293,0.0104527,-0.075307,
9.05608,2.12422,-0.000114519,5.76E-05,-2.2893,2.2893,-5.26476,-3.89119,6.87E-06,-4.47E-05,-0.862641,-1.13736,0.0158858,-0.0665288,
8.94427,2.23603,-0.000117199,5.68E-05,-2.19001,2.19001,-5.34233,-4.02833,7.03E-06,-4.41E-05,-0.868599,-1.1314,0.0205399,-0.0583002,
8.83247,2.34783,-0.000119617,5.60E-05,-2.08595,2.08595,-5.40802,-4.15645,7.18E-06,-4.35E-05,-0.874842,-1.12516,0.0244811,-0.0506132,
8.72066,2.45964,-0.00012179,5.52E-05,-1.9786,1.9786,-5.46288,-4.27572,7.31E-06,-4.30E-05,-0.881283,-1.11872,0.027773,-0.0434565,
8.60886,2.57144,-0.000123733,5.43E-05,-1.86925,1.86925,-5.50794,-4.38639,7.42E-06,-4.24E-05,-0.887844,-1.11215,0.0304765,-0.0368164,
8.49706,2.68324,-0.000125461,5.35E-05,-1.75908,1.75908,-5.54416,-4.48872,7.53E-06,-4.19E-05,-0.894455,-1.10554,0.0326498,-0.0306769,
8.38525,2.79505,-0.000126989,5.27E-05,-1.64912,1.64912,-5.57247,-4.583,7.62E-06,-4.13E-05,-0.901052,-1.09895,0.0343481,-0.0250201,
8.27345,2.90685,-0.000128333,5.18E-05,-1.5403,1.5403,-5.59373,-4.66955,7.70E-06,-4.08E-05,-0.907581,-1.09242,0.0356237,-0.0198271,
8.16165,3.01865,-0.000129507,5.09E-05,-1.43343,1.43343,-5.60876,-4.74871,7.77E-06,-4.02E-05,-0.913993,-1.086,0.0365259,-0.0150775,
8.04984,3.13046,-0.000130525,5.01E-05,-1.32922,1.32922,-5.61835,-4.82082,7.83E-06,-3.96E-05,-0.920246,-1.07975,0.037101,-0.0107508,
